emis,exam_no,school,dinaledi,quintile,2014_pass_rate,2014_achieved,2014_wrote,2013_pass_rate,2013_achieved,2013_wrote,2012_pass_rate,2012_achieved,2012_wrote
200300003,4161001,Amabele Senior Secondary,N,1,37.8,14,37,67.4,31,46,74.2,23,31
200300869,4161002,Bethel College High,N,,71.2,42,59,78,46,59,56.3,27,48
200300024,4161003,Blythswood Institution,N,3,62.5,50,80,63.7,58,91,69.8,44,63
200300033,4161048,Bongolethu Senior Secondary,N,2,50,13,26,64.9,24,37,84.6,22,26
200300741,4161037,Butterworth High,N,4,75.3,61,81,88.8,71,80,63.9,46,72
200300879,4164049,Butterworth Revival Christian,N,,66.7,6,9,,,,,,
200300053,4161004,Cunningham Senior,N,3,36.1,22,61,44.4,32,72,31,27,87
200300057,4161005,Daluhlanga Senior Secondary,N,2,56.6,47,83,67.5,54,80,37.4,40,107
200300070,4161006,Dlulisa Senior Secondary,N,1,100,1,1,4.2,1,24,4.5,1,22
200300071,4161042,Dondashe Senior Secondary,N,1,69,60,87,58.9,56,95,70.6,72,102
200300870,4161007,Elukhanyisweni College,N,,35.9,14,39,27,24,89,19.2,19,99
200300873,4162021,Emmanuel Junior School,N,,75,9,12,,,,,,
200300788,4161009,Ezingcuka Senior Secondary,N,1,66.9,105,157,71.1,128,180,59.6,102,171
200300744,4161008,Ezingqayi Senior Secondary,N,2,60.9,39,64,60.3,44,73,57.4,27,47
200300093,4161010,Ezizweni Senior Secondary,N,2,53.1,43,81,65.1,41,63,21.1,20,95
200300787,4161011,Gobe Commercial,N,2,83.3,55,66,65.2,73,112,73.9,82,111
200300123,4161012,Gwadana Senior Secondary,N,2,54.2,13,24,81.1,30,37,60,15,25
200300124,4161013,Gwelane Senior Secondary,Y,1,51.3,39,76,79,49,62,73.9,34,46
200300149,4161014,Isolomzi Senior Secondary,N,1,88.6,39,44,67.9,57,84,75,45,60
200300723,4161038,Jj Njeza Senior Secondary,N,1,51.5,52,101,70.1,68,97,50.7,34,67
200300165,4161043,Jongabantu Senior Secondary,N,2,24.7,23,93,46.2,42,91,53.7,29,54
200300169,4161044,Jongilizwe Senior Secondary,N,3,74.5,38,51,81.8,36,44,11.1,6,54
200300189,4161015,Krazukile Senior Secondary,N,1,52.7,29,55,44.3,31,70,27.7,13,47
200300198,4161016,Kwantozonke Senior,N,3,24.5,12,49,29.2,14,48,57.8,26,45
200300782,4161017,Lamplough Senior Secondary,N,3,87.1,88,101,73.6,106,144,80.9,110,136
200300256,4161018,Maboboti Senior Secondary.,N,1,50,11,22,28.6,4,14,40,6,15
200300258,4161019,Macibe Senior Secondary,N,2,73.6,39,53,64.4,58,90,39.5,32,81
200300846,4161039,Mente Senior Secondary,N,1,90.3,56,62,76.1,54,71,65.7,23,35
200300329,4161045,Mgomanzi Senior Secondary,N,3,32.8,19,58,31.4,27,86,20.6,14,68
200300381,4161020,Msobomvu Senior Secondary,N,3,47.5,170,358,61.8,152,246,61.3,192,313
200300383,4161021,Mtawelanga Senior Secondary,N,2,31.7,20,63,62.1,64,103,60.5,52,86
200300382,4161022,Mtebele Senior Secondary,N,2,32.7,34,104,37.8,37,98,35.1,34,97
200300164,4161049,Mzamomhle Senior,N,3,18.2,2,11,88.9,8,9,75,6,8
200300778,4161023,Ncedisizwe Senior Secondary,N,1,59.1,39,66,53.1,77,145,64.3,92,143
200300420,4161024,Ndabankulu Senior Secondary,Y,3,76.8,126,164,78.4,152,194,65.9,87,132
200300443,4164050,Ngubesizwe Senior Secondary,N,,46.7,7,15,,,,,,
