INCIDENT,I DESCRIPTION,CLASSIFICATION,DAY,MONTH,YEAR,Full date,TIME_OF_INCIDENT,HOUR RANGE,SUBURB,TOWN,VEHICLES__total,WHAT_WAS_BURNING,DESCRIPTION,ACTIONS_OF,EQUIPMENT_,FPA_SUSPEC,DETAILS_OF,PUMPING_TI,DISTRICT,STATIONS,SUBURB_GEO,PRED_DWELL,AMHHI,PRED_LSMGR,PRED_TENURE,PRED_LANGUAGE,PRED_RACE,PRED_AGE,PRED_MARITAL STATUS,PRED_EDUCATION,POPULATION,SUBURB_AREA,STREET,LONGITUDE,LATITUDE
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",17,January,2009,01/17/2009 12:00:00 AM,0:00,0:00 - 0:30,Simonstown,South Peninsula,0:51,,False Alarm,,,N/a,False Alarm With Good Intent Due To Navy Personel Being In Attendance With One Fire Tender.,,West,Simonstown,Simon's Town Habour,BrHse_SepStand,0,LSM 01,Rented,NA,Black African,Age 20 - 24,Unmarried,NA,668,0.42,Main Road (m4),18.429523,-34.191603000000001
Miscellaneous,Person Trapped (Building),Special Service,31,May,2009,05/31/2009 12:00:00 AM,0:00,0:00 - 0:30,Central,Cape Town,0:16,,,Cut Lock To Enter Building,Bolt Cutters,N/a,,,West,Roeland Street,Cape Town CBD,Flats,26927,LSM 12,Rented,NA,Black African,Age 25 - 29,Unmarried,NA,5807,258000,Barrack Street,18.420957000000001,-33.926490999999999
Miscellaneous,Animal Rescue,Special Service,5,November,2009,11/05/2009 12:00:00 AM,0:00,0:00 - 0:30,Parow,Tygerberg,0:34,,Special Service,Brigade Pitched 1x Floor Ladder To Remove Cat From Balcony.,1x First Floor Ladder.,Other,Cat Stuck On Balcony But Jump Off When Brigade Wanted To Free Him From Balcony And Ran Away.,,North,Goodwood,Parow SP,Flats,9715,LSM 07,Rented,Afrikaans,Black African,Age 25 - 29,Unmarried,Secondary,3609,0.52,Louis Trichardt Street,18.587454999999999,-33.908217999999998
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",31,December,2009,12/31/2009 12:00:00 AM,0:00,0:00 - 0:30,Bellville,Tygerberg,1:20,Grass,Average Vegetation Fire,1 X Fogjet In Use From E36 @ 01:03(2000l),"1 X Hosereel, 2 X Spades",Arson,Vegetation Set Alight By Passer-by,1:03,North,Bellville,De Bron,BrHse_SepStand,36895,LSM 14,Owned Not Paid Off,Afrikaans,White,Age 30 - 34,Married,Secondary,1874,136000,Caledon Street,18.620567999999999,-33.901721999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",28,January,2010,01/28/2010 12:00:00 AM,0:00,0:00 - 0:30,Mitchell's Plain,Cape Town,00:33|00:34,Small Area Of Rubbish/grass.,Rubbish Fire,Damped Down Area With Water.,Fog Jet.,Undetermined,Undetermined.,0:02,East,Khayelitsha,Portland,BrHse_SepStand,10805,LSM 07,Owned Paid In Full,English,Coloured,Age 0 - 4,Unmarried,Secondary,25495,241000,Tradouw Street,18.613631000000002,-34.050111000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",30,January,2010,01/30/2010 12:00:00 AM,0:00,0:00 - 0:30,Bishop Lavis,Tygerberg,00:04|00:40,Vegetation,Minor Vegetation Fire,Made Sure Area Was Safe,,Open Flames,Unknown,,East,Belhar,Bishop Lavis,BrHse_SepStand,5887,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,27950,259000,Maitland Road,18.581503000000001,-33.943286000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",18,February,2010,02/18/2010 12:00:00 AM,0:00,0:00 - 0:30,Montagu's Gift,South Peninsula,0:38,Grass,Minor Vegetation Fire,Brigade Used Spades To Extinguish The Fire.,Spades.,N/a,Passerby Dropping A Light.,,West,Wynberg,Lotus River,BrHse_SepStand,9775,LSM 07,Rented,English,Coloured,Age 0 - 4,Unmarried,Secondary,40258,501000,Montagu's Gift Road,18.504567999999999,-34.030388000000002
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",5,March,2010,03/05/2010 12:00:00 AM,0:00,0:00 - 0:30,Vredehoek,Cape Town,00:20|00:16,Vegetation,Minor Vegetation Fire,Nil,Nil,Open Flames,Passer-by Dropped A Light.,,West,Roeland Street,Vredehoek,Flats,34379,LSM 14,Rented,English,White,Age 25 - 29,Unmarried,Tertiary Plus,3753,0.94,Yeoville Road,18.418709,-33.939269000000003
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",10,March,2010,03/10/2010 12:00:00 AM,0:00,0:00 - 0:30,Gordons Bay,Helderberg,1:14,,False Alarm,Nil,Nil,N/a,F.A.G.I,,East,Strand,Gordons Bay SP,BrHse_SepStand,21896,LSM 11,Rented,Afrikaans,White,Age 25 - 29,Married,Secondary,5274,302000,Lowry's Sir Lowry Road,18.877126000000001,-34.156393999999999
Residential,Informal,"Fire, manually extinguished",2,June,2010,06/02/2010 12:00:00 AM,0:00,0:00 - 0:30,Heideveld,Cape Town,00:32|00:31|00:31|00:25,Rubbish,,Extinguished With One Fog Jet From E32a Motor Pump.,1 X Hose Reel,Open Flames,Owners Son Set Papers Alight In An Empty 210l Drum Inside A Vibracrete Structure.,0:01,North,"Epping, Ottery",Heideveld,BrHse_SepStand,5594,LSM 06,Rented,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,18351,182000,Sneeuberg Road,18.561143999999999,-33.970253999999997
Miscellaneous,Assist Private Company,Special Service,5,June,2010,06/05/2010 12:00:00 AM,0:00,0:00 - 0:30,Mfuleni,Tygerberg,0:27,,Special Service,Clean Roadway,1xfogjet,Undetermined,,0:05,East,Mfuleni,Mfuleni SP,BrHse_SepStand,3007,LSM 04,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,55174,1346000,N 2,18.678387000000001,-34.000667999999997
Residential,Informal,"Fire, manually extinguished",26,June,2010,06/26/2010 12:00:00 AM,0:00,0:00 - 0:30,Seawinds,South Peninsula,00:29|00:31|00:29|00:34,Curtains Etc.,Minor Structural Fire,,,Lightning,Candle Igniting Curtains,,West,Lakeside,Seawinds,Semi-detached,5784,LSM 06,Owned Not Paid Off,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,7072,0.47,Orchard Street,18.484515999999999,-34.077886999999997
