GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2000,2000,,AFR,Africa,,ZAF,2000,2000,South Africa,,18 064 [ 13 000- 26 000],18064.00000,13000.00000,26000.00000,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2001,2001,,AFR,Africa,,ZAF,2001,2001,South Africa,,26506,26506.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2002,2002,,AFR,Africa,,ZAF,2002,2002,South Africa,,15649,15649.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2003,2003,,AFR,Africa,,ZAF,2003,2003,South Africa,,13459,13459.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2004,2004,,AFR,Africa,,ZAF,2004,2004,South Africa,,13399,13399.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2005,2005,,AFR,Africa,,ZAF,2005,2005,South Africa,,7755,7755.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2006,2006,,AFR,Africa,,ZAF,2006,2006,South Africa,,12098,12098.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2007,2007,,AFR,Africa,,ZAF,2007,2007,South Africa,,6327,6327.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2008,2008,,AFR,Africa,,ZAF,2008,2008,South Africa,,7796,7796.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2009,2009,,AFR,Africa,,ZAF,2009,2009,South Africa,,6072,6072.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2010,2010,,AFR,Africa,,ZAF,2010,2010,South Africa,,8060,8060.00000,,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2971,PUBLISHED,Published,,2011,2011,,AFR,Africa,,ZAF,2011,2011,South Africa,,9866,9866.00000,,,,,
