ISSID,Municipality_metro,Metro,Rural,TownCity_Name,Suburbareaplacename,Police_Station,Coordinates,First_Street,Cross_Street,Start_Date,End_Date,Ongoing,Type_ID,Type,Violent_or_non_violent,Violent_or_non_violent_code,Rangecode,Reasonforprotest,ward,Toilets.None,Toilets.Bucket toilet,Toilets.Other,Toilets.Unspecified,Toilets.Chemical toilet,Toilets.Flush toilet (connected to sewerage system),Toilets.Pit toilet without ventilation,Toilets.Pit toilet with ventilation (VIP),Toilets.Total,Toilets.Not applicable,Toilets.Flush toilet (with septic tank),Electricity.No electricity for heating:,Electricity.No electricity for lighting,Electricity.No electricity for cooking:,Electricity.Electricity for heating:,Electricity.Electricity for cooking:,Electricity.Total,Electricity.Electricity for lighting,Water.Regional/local water scheme (operated by municipality or other water services provider),Water.Spring,Water.Dam/pool/stagnant water,Water.Water tanker,Water.Other,Water.Borehole,Water.River/stream,Water.Total,Water.Not applicable,Water.Rain water tank,Water.Water vendor,Location 1
105,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha; Town Two phase four informal settlement,WC - Khayelitsha,"-34.034239,18.677953",Lansdowne Road,Lansdowne Road,1-Feb-13,12-Feb-13,1,9,Service delivery,Violent,1,5,"Protests during which people from other areas were bussed in and started burning the plastic chemical toilets for Town Two residents, since the residents have had no toilets following protests six months ago. This led to altercations between Town Two resident protestors and protestors from other areas, with Town Two residents trying to prevent their toilets being burned on Lansdowne Road.",19100093,751,2648,1019,25,908,23052,430,247,31218,0,2138,8081,1171,1578,1590,8093,9671,8500,29454,25,0,98,838,365,0,31218,0,24,414,"9
(-34.034238, 18.677952)"
4,Eastern Cape - Senqu,0,1,Sterkspruit,Sterkspruit,EC - Sterkspruit,"-30.524935,27.364588",Zastron road,Zastron road,1-Jan-13,24-Jan-13,1,9,Service delivery,Violent,1,1,The residents wanted Sterkspruit to be moved from the Senqu municipality and be a municipality on its own. ,21402010,1795,16,166,48,880,959,4094,609,9054,9,478,2204,1268,1455,514,1263,2718,1450,7644,75,155,616,274,56,91,9052,9,106,26,"1
(-30.524934, 27.364588)"
67,KwaZulu Natal - eThekwini,1,0,Durban,"Dundee, Forbes & Manhattan Coal processing plant and Magdalena mine",KZN - Dundee,"-28.170436,30.230345",Not applicable,Not applicable,17-Jan-13,26-Jan-13,1,4,Labour related,Violent,1,3,"Decreased amount: the miners had initially been demanding a minimum R3 000 increase for the lowest paid workers, but had through negotiations modified their demands to an increase of between R1 500 and R2 000 a month. The owners of the mine, Forbes Coal, had been offering an 8.5% increase.",52401004,26,0,28,18,19,7523,723,5,8391,20,29,789,409,550,1768,2007,2557,2148,8298,0,3,24,31,5,1,8391,20,9,0,"6
(-28.170435, 30.230345)"
730,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria West - Lotus Gardens,GP - Pretoria West,"-25.751159,28.083004",Abeltree St,Brizia Cres,3-Jan-13,3-Jan-13,0,7,Vigilantism,Violent,1,5,"Residents stoned the house, smashed windows and broke down the front door to get inside RDP house of Mitah and Esther Mnisi, accusing them of evil deeds, Angry residents also claimed the two women were involved in other cases where people died soon after arguing with them.",79900007,402,1104,314,199,113,35389,1711,448,42846,6,3160,3416,1774,2100,9732,11048,13148,11374,35884,46,20,1435,595,4619,11,42846,6,140,90,"3
(-25.751159, 28.083003)"
62,Gauteng - City of Johannesburg,1,0,Johannesburg,"Johannesburg, Nelson Mandela bridge",GP - Johannesburg Central,"-26.128008,28.03176",Jan Smuts,Bompas,4-Jan-13,4-Jan-13,0,1,Crime related,Peaceful,0,3,"The news of the death of South African mountain bike ace Burry Stander, caused a stir across the country , leading to plans of a mass protests in his honour. Several protest masses have since been organised in honour of Stander and all cyclists killed on South Africans roads.",79800090,36,15,45,321,0,22248,9,9,22866,0,183,1591,91,1673,9213,9131,10804,10713,22186,0,5,33,402,142,4,22866,0,16,78,"3
(-26.128008, 28.031759)"
65,Gauteng - City of Johannesburg,1,0,Johannesburg,Chris Hani Baragwanath Nursing College,GP - Rosebank,"-26.145601,28.039955",Do not know,Do not know,7-Jan-13,16-Jan-13,0,2,Education related,Peaceful,0,5,"The closure of the college follows a week-long illegal protest and class disruptions by students, who demanded that three heads of department (HODs) should be removed from the college.",79800117,25,67,17,164,1,19154,0,8,19568,4,128,1958,70,1960,6808,6806,8766,8696,19105,0,0,12,255,114,4,19569,4,12,63,"3
(-26.1456, 28.039954)"
88,Western Cape - Breede Valley,0,1,Cape Town,De Doorns,WC - De Doorns,"-33.485433,19.669347",N1 Highway,N1 Highway,9-Jan-13,12-Feb-13,1,4,Labour related,Violent,1,1,Farm workers engaged on violent wage dispute: farm workers demanding an increase of minimum wage from R69 a day to R150 a day; Improvements in living standard.,10205002,142,21,12,45,0,8432,3,0,9414,0,759,2566,2205,2336,794,1024,3360,1155,8498,33,381,67,217,131,33,9413,0,40,13,"9
(-33.485433, 19.669346)"
55,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.744434,28.192059",Madiba Street,Madiba Street,11-Jan-13,11-Jan-13,0,4,Labour related,Peaceful,0,5,The Tshwane Municipality on Friday stopped an impromptu and illegal march by a few hundred former employees who were demanding their jobs back. ,79900058,184,39,75,201,5,31899,650,28,33662,345,236,1322,123,564,8786,9544,10108,9985,32636,11,8,78,372,111,8,33662,345,21,72,"3
(-25.744433, 28.192059)"
107,Western Cape - City of Cape Town,1,0,Cape Town,Joe Slovo Park,WC - Milnerton,"-33.873587,18.508805",Democracy Road,Democracy Road,14-Jan-13,14-Jan-13,-1,9,Service delivery,Violent,1,5,"The residents also launched violent protests, stoning ALIU officials and burning tyres on Democracy Road — the main road in the township which leads to Montague Gardens. Several businesses run by foreign nationals were also set alight by residents who claimed they were being targeted while foreign national’s running businesses illegally from shipping containers were being allowed to continue.",19100004,91,522,98,138,871,38914,15,33,40916,85,149,5575,578,1465,9711,13821,15286,14708,40220,26,21,85,258,90,35,40917,85,36,61,"9
(-33.873587, 18.508804)"
93,Western Cape - Cape Winelands,0,0,Cape Town,Crossroads / New crossroads and Wesbank,WC - Gugulethu,"-33.997778,18.597536",Ntsikizi street,Lansdowne road,16-Jan-13,16-Jan-13,1,2,Education related,Peaceful,0,5,Dr Nelson Mandela High in Crossroad has had experienced disruptions to due protests and counter protests almost every day since school’s reopened on January 16 this year. The school has been disrupted by protests over the return of principal Linda Mnothoza who was last year suspended following allegations of misuse of school funds. 20 teachers opposed to Mnothoza have refused to teach. Parents and learners have also got involved in protests against he principal. Other schools that have been disrupted by protests against their principals are Qigqa Mntwana primary school in Crossroads and Nomlinganiselo Primary School in New Crossroads. Then on Monday this week Rainbow Primary school in Wesbank saw black and coloured parents facing off and hurling racial epithets at each other after the school’s Xhosa teacher refuses to teach a multi grade class of Grade 2 and Grade 3 pupils.,19100036,231,6443,121,56,83,26251,115,29,34164,0,835,7518,1543,1951,2252,7819,9770,8227,33469,17,0,29,481,71,4,34167,0,39,57,"9
(-33.997777, 18.597536)"
