Province,Police Station,Crime,Year,Incidents
KZN,Alexandra Road,All theft not mentioned elsewhere,2005,623
KZN,Alexandra Road,All theft not mentioned elsewhere,2006,742
KZN,Alexandra Road,All theft not mentioned elsewhere,2007,818
KZN,Alexandra Road,All theft not mentioned elsewhere,2008,705
KZN,Alexandra Road,All theft not mentioned elsewhere,2009,650
KZN,Alexandra Road,All theft not mentioned elsewhere,2010,554
KZN,Alexandra Road,All theft not mentioned elsewhere,2011,723
KZN,Alexandra Road,All theft not mentioned elsewhere,2012,708
KZN,Alexandra Road,All theft not mentioned elsewhere,2013,617
KZN,Alexandra Road,All theft not mentioned elsewhere,2014,27
KZN,Alexandra Road,Arson,2005,2
KZN,Alexandra Road,Arson,2006,2
KZN,Alexandra Road,Arson,2007,8
KZN,Alexandra Road,Arson,2008,7
KZN,Alexandra Road,Arson,2009,9
KZN,Alexandra Road,Arson,2010,7
KZN,Alexandra Road,Arson,2011,6
KZN,Alexandra Road,Arson,2012,3
KZN,Alexandra Road,Arson,2013,3
KZN,Alexandra Road,Arson,2014,0
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2005,75
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2006,83
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2007,100
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2008,95
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2009,110
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2010,175
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2011,140
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2012,149
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2013,136
KZN,Alexandra Road,Assault with the intent to inflict grievous bodily harm,2014,32
KZN,Alexandra Road,Attempted murder,2005,20
KZN,Alexandra Road,Attempted murder,2006,13
KZN,Alexandra Road,Attempted murder,2007,14
KZN,Alexandra Road,Attempted murder,2008,10
KZN,Alexandra Road,Attempted murder,2009,15
KZN,Alexandra Road,Attempted murder,2010,25
KZN,Alexandra Road,Attempted murder,2011,24
KZN,Alexandra Road,Attempted murder,2012,21
KZN,Alexandra Road,Attempted murder,2013,18
KZN,Alexandra Road,Attempted murder,2014,2
KZN,Alexandra Road,Burglary at non-residential premises,2005,82
KZN,Alexandra Road,Burglary at non-residential premises,2006,90
KZN,Alexandra Road,Burglary at non-residential premises,2007,105
KZN,Alexandra Road,Burglary at non-residential premises,2008,57
KZN,Alexandra Road,Burglary at non-residential premises,2009,49
KZN,Alexandra Road,Burglary at non-residential premises,2010,107
KZN,Alexandra Road,Burglary at non-residential premises,2011,84
KZN,Alexandra Road,Burglary at non-residential premises,2012,89
KZN,Alexandra Road,Burglary at non-residential premises,2013,109
KZN,Alexandra Road,Burglary at non-residential premises,2014,5
KZN,Alexandra Road,Burglary at residential premises,2005,631
KZN,Alexandra Road,Burglary at residential premises,2006,659
KZN,Alexandra Road,Burglary at residential premises,2007,732
KZN,Alexandra Road,Burglary at residential premises,2008,618
KZN,Alexandra Road,Burglary at residential premises,2009,520
KZN,Alexandra Road,Burglary at residential premises,2010,556
KZN,Alexandra Road,Burglary at residential premises,2011,586
KZN,Alexandra Road,Burglary at residential premises,2012,816
KZN,Alexandra Road,Burglary at residential premises,2013,706
KZN,Alexandra Road,Burglary at residential premises,2014,51
KZN,Alexandra Road,Carjacking,2005,19
KZN,Alexandra Road,Carjacking,2006,16
KZN,Alexandra Road,Carjacking,2007,17
KZN,Alexandra Road,Carjacking,2008,10
KZN,Alexandra Road,Carjacking,2009,29
KZN,Alexandra Road,Carjacking,2010,16
KZN,Alexandra Road,Carjacking,2011,17
KZN,Alexandra Road,Carjacking,2012,15
KZN,Alexandra Road,Carjacking,2013,19
KZN,Alexandra Road,Carjacking,2014,1
KZN,Alexandra Road,Commercial crime,2005,51
KZN,Alexandra Road,Commercial crime,2006,98
KZN,Alexandra Road,Commercial crime,2007,197
KZN,Alexandra Road,Commercial crime,2008,140
KZN,Alexandra Road,Commercial crime,2009,191
KZN,Alexandra Road,Commercial crime,2010,173
KZN,Alexandra Road,Commercial crime,2011,217
KZN,Alexandra Road,Commercial crime,2012,125
KZN,Alexandra Road,Commercial crime,2013,124
KZN,Alexandra Road,Commercial crime,2014,2
KZN,Alexandra Road,Common assault,2005,273
KZN,Alexandra Road,Common assault,2006,255
KZN,Alexandra Road,Common assault,2007,228
KZN,Alexandra Road,Common assault,2008,209
KZN,Alexandra Road,Common assault,2009,202
KZN,Alexandra Road,Common assault,2010,304
KZN,Alexandra Road,Common assault,2011,334
KZN,Alexandra Road,Common assault,2012,304
KZN,Alexandra Road,Common assault,2013,298
KZN,Alexandra Road,Common assault,2014,19
KZN,Alexandra Road,Common robbery,2005,96
KZN,Alexandra Road,Common robbery,2006,52
KZN,Alexandra Road,Common robbery,2007,65
KZN,Alexandra Road,Common robbery,2008,44
KZN,Alexandra Road,Common robbery,2009,48
KZN,Alexandra Road,Common robbery,2010,47
KZN,Alexandra Road,Common robbery,2011,71
KZN,Alexandra Road,Common robbery,2012,69
KZN,Alexandra Road,Common robbery,2013,76
KZN,Alexandra Road,Common robbery,2014,7
KZN,Alexandra Road,Crimen injuria,2005,43
KZN,Alexandra Road,Crimen injuria,2006,43
KZN,Alexandra Road,Crimen injuria,2007,44
KZN,Alexandra Road,Crimen injuria,2008,28
KZN,Alexandra Road,Crimen injuria,2009,47
KZN,Alexandra Road,Crimen injuria,2010,37
KZN,Alexandra Road,Crimen injuria,2011,60
KZN,Alexandra Road,Crimen injuria,2012,65
KZN,Alexandra Road,Crimen injuria,2013,50
KZN,Alexandra Road,Crimen injuria,2014,3
KZN,Alexandra Road,Culpable homicide,2005,18
KZN,Alexandra Road,Culpable homicide,2006,24
KZN,Alexandra Road,Culpable homicide,2007,21
KZN,Alexandra Road,Culpable homicide,2008,24
KZN,Alexandra Road,Culpable homicide,2009,28
KZN,Alexandra Road,Culpable homicide,2010,17
KZN,Alexandra Road,Culpable homicide,2011,18
KZN,Alexandra Road,Culpable homicide,2012,21
KZN,Alexandra Road,Culpable homicide,2013,18
KZN,Alexandra Road,Culpable homicide,2014,2
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2005,103
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2006,115
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2007,207
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2008,503
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2009,641
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2010,446
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2011,104
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2012,72
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2013,53
KZN,Alexandra Road,Driving under the influence of alcohol or drugs,2014,0
KZN,Alexandra Road,Drug-related crime,2005,130
KZN,Alexandra Road,Drug-related crime,2006,157
KZN,Alexandra Road,Drug-related crime,2007,228
KZN,Alexandra Road,Drug-related crime,2008,239
KZN,Alexandra Road,Drug-related crime,2009,231
KZN,Alexandra Road,Drug-related crime,2010,297
KZN,Alexandra Road,Drug-related crime,2011,225
KZN,Alexandra Road,Drug-related crime,2012,212
KZN,Alexandra Road,Drug-related crime,2013,211
KZN,Alexandra Road,Drug-related crime,2014,75
KZN,Alexandra Road,Kidnapping,2005,1
