uid,name,facility,classification,district,sub_district,fax,tel,cel,email,manager,area_type,ownership,postal_area,postal_address,street_address,Location 1,overall_performance,vital_measures,extreme_measures,essential_measures,developmental_measures,facilities_and_infrastructure,clinical_support_services,patient_safety-clinical_governance-clinical_care,operational_management,patients_rights,public_health,leadership_and_corporate_governance,infection_prevention_and_control,improve_patient_safety_and_security,waiting_times,positive_and_caring_attitudes,cleanliness,availability_of_medicines_and_supplies,accommodation-consulting_room-clinic,accommodation-procedure_room-total,accommodation-consulting-room-outpatient-department,accommodation-consulting_room-accident_and_emergency_department,accommodation-medicine_room-number_of,staff-nursing_staff-professional_nurse-vacant,staff-Nursing_Staff-Professional_Nurse-part_time,staff-Nursing_Staff-Professional_Nurse-full_time,staff-Nursing_Staff-Enrolled_Nurse_Assistant-vacant,staff-Nursing_Staff-Enrolled_Nurse_Assistant-part_time,staff-Nursing_Staff-Enrolled_Nurse_Assistant-full_time,staff-Clinical_staff-Other-vacant,staff-Clinical_staff-Other-part_time,staff-Clinical_staff-Other-full_time,staff-Nursing_Staff-Enrolled_Nurs-vacant,staff-Nursing_Staff-Enrolled_Nurs-part_time,staff-Nursing_Staff-Enrolled_Nurs-full_time,staff-Nursing_Staff-Enrolled_Nurse-vacant,staff-Nursing_Staff-Enrolled_Nurse-part_time,staff-Nursing_Staff-Enrolled_Nurse-full_time,staff-Nursing_Staff-Advanced_Midwives-vacant,staff-Nursing_Staff-Advanced_Midwives-part_time,staff-Nursing_Staff-Advanced_Midwives-full_time,staff-Nursing_Staff-Specialised_Nurses_(Exluding_Advanced_Midwives)-vacant,staff-Nursing_Staff-Specialised_Nurses_(Exluding_Advanced_Midwives)-part_time,staff-Nursing_Staff-Specialised_Nurses_(Exluding_Advanced_Midwives)-full_time,staff-Clinical_staff-Pharmacists-vacant,staff-Clinical_staff-Pharmacists-part_time,staff-Clinical_staff-Pharmacists-full_time,staff-Clinical_staff-Allied_Health_Professionals-vacant,staff-Clinical_staff-Allied_Health_Professionals-part_time,staff-Clinical_staff-Allied_Health_Professionals-full_time,staff-Doctors-Medical_Practitioners-vacant,staff-Doctors-Medical_Practitioners-part_time,staff-Doctors-Medical_Practitioners-full_time,staff-Administrative_staff-Information_management-vacant,staff-Administrative_staff-Information_management-part_time,staff-Administrative_staff-Information_management-full_time,staff-Doctors-External_Visiting_Medical_Practitioners-vacant,staff-Doctors-External_Visiting_Medical_Practitioners-part_time,staff-Doctors-External_Visiting_Medical_Practitioners-full_time,staff-Administrative_staff-Human_Resource-vacant,staff-Administrative_staff-Human_Resource-part_time,staff-Administrative_staff-Human_Resource-full_time,staff-Nursing_Staff-Clinical_Nurse_Practitioners-vacant,staff-Nursing_Staff-Clinical_Nurse_Practitioners-part_time,staff-Nursing_Staff-Clinical_Nurse_Practitioners-full_time,staff-Doctors-Medical_Specialists-vacant,staff-Doctors-Medical_Specialists-part_time,staff-Doctors-Medical_Specialists-full_time,staff-Doctors-Medical_Practitioner_Interns-vacant,staff-Doctors-Medical_Practitioner_Interns-part_time,staff-Doctors-Medical_Practitioner_Interns-full_time,staff-Clinical_staff-Dental-vacant,staff-Clinical_staff-Dental-part_time,staff-Clinical_staff-Dental-full_time,staff-Doctors-Registrars-vacant,staff-Doctors-Registrars-part_time,staff-Doctors-Registrars-full_time,staff-Doctors-External_Visiting_Medical_Specialists-vacant,staff-Doctors-External_Visiting_Medical_Specialists-part_time,staff-Doctors-External_Visiting_Medical_Specialists-full_time,staff-Staffing-Management_staff-vacant,staff-Staffing-Management_staff-part_time,staff-Staffing-Management_staff-full_time,staff-Administrative_staff-General_Admin_/_Support-vacant,staff-Administrative_staff-General_Admin_/_Support-part_time,staff-Administrative_staff-General_Admin_/_Support-full_time,staff-Administrative_staff-Financial-vacant,staff-Administrative_staff-Financial-part_time,staff-Administrative_staff-Financial-full_time,staff-Total_Staff_Compliment-vacant,staff-Total_Staff_Compliment-part_time,staff-Total_Staff_Compliment-full_time,staff-Vacant-vacant,staff-Vacant-part_time,staff-Vacant-full_time,pharmacy_and_dispensary-hours_per_day,clinics-hours_per_day,pharmacy_and_dispensary-days_per_week,in_patients-hours_per_day,clinics-days_per_week,in_patients-days_per_week,emergency_unit-hours_per_day,emergency_unit-days_per_week,out_patients-hours_per_day,out_patients-days_per_week,governance-Strategic_management,governance-Communications_and_public_relations,governance-Staff_welfare_and_employee_wellness,governance-Human_resource_management_and_development,governance-Leadership_and_Corporate_Governance,governance-Operational_Management,governance-Oversight_and_accountability,governance-Financial_management,governance-Risk_management,governance-Supply_chain_and_asset_Management,governance-Quality_Improvement,governance-Effective_leadership
ec_aberdeen_hospital_2013_03_26,Aberdeen Hospital,Aberdeen Hospital,DISTRICT HOSPITAL,Cacadu District Municipality,Camdeboo Health sub-District,049 846 0176,049 8460 497/630,083 9830 876,mxolisi.vanqa@impilo.ecprov.gov.za,Mr Vanqa BMS,RURAL,Facility Owner - Government - Prov,Aberdeen,PO Box 172,35 Hope Street,"Eastern Cape Province
(-32.473958, 24.054372)",54,53, N/A,54, N/A,47,61,58,41,50,37,57,49,53,32,58,55,70,,,1,1,,2,0,6,0,0,8,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,,,,,,,8,,,24,,7,24,7,8,5,100,100,,69,,,,0,0,,,
ec_addo_clinic_2013_09_18,Addo Clinic,Addo Clinic,SATELLITE CLINIC,Cacadu District Municipality,Kouga Health sub-District,042 233 0358,042 233 0358,082 519 7111,,Jennifer Rudman,RURAL,Facility Owner - Government - Prov,Addo,PO Box 2010,Main Rd. Addo,"Eastern Cape Province
(-33.546594, 25.68993)",45,47, N/A,45, N/A,58,58,34,71,28,80,67,51,40,20,36,78,64,4,0,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,,,,,8,8,5,,,,,,,,50,100,50,50,,,,,,,,
ec_adelaide_gateway_clinic_2013_09_17,Adelaide Gateway Clinic,Adelaide Gateway Clinic,CLINIC,Amathole District Municipality,Nkonkobe Health sub-District,0466840417,0466840066,0789950107,,N.E. Tshoko,URBAN,Facility Owner - Government - Prov,"Adelaide,","P.O. Box 128, Adelaide,","Pos Retief Drive,","Eastern Cape Province
(-32.69994, 26.29404)",40,34, N/A,43, N/A,53,23,47,50,36,33,0,72,25,57,49,27,32,3,0,,,,1,0,3,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,,8,,,,,,,,,,0,0,0,0,0,50,,,,,,
ec_adelaide_hospital_2013_03_26,Adelaide Hospital,Adelaide Hospital,DISTRICT HOSPITAL,Amathole District Municipality,Nkonkobe Health sub-District,0466840417,0466840066,0826377326,adelhospmmn@bosberg.co.za,B. Poni,RURAL,Facility Owner - Government - Prov,"Adelaide,","P.O. Box 128, Adelaide,","Piet Retief Drive,","Eastern Cape Province
(-32.70092, 26.29427)",67,70, N/A,65, N/A,50,84,65,62,68,57,57,71,60,63,70,53,87,,,1,1,,3,4,10,0,4,12,0,3,0,0,0,10,0,0,0,1,0,0,0,0,1,5,1,0,5,2,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,27,0,0,1,,,,,,,4,,,24,,7,24,7,24,7,,100,,60,,,,,0,,,
ec_aeroville_clinic_2013_09_18,Aeroville Clinic,Aeroville Clinic,CLINIC,Cacadu District Municipality,Camdeboo Health sub-District,042 243 3071,042 243 3446,,,MV Hendricks,RURAL,Facility Owner - Government - Prov,Somerset East,96 Birdnare Aeroville,15 Birdanire,"Eastern Cape Province
(-32.750808, 25.601076)",60,63, N/A,58, N/A,46,75,56,57,69,47,33,61,43,64,86,64,90,6,0,,,,1,0,5,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,8,8,5,,,,,,,,0,100,50,0,,,,,,,,
ec_afsondering_clinic_2013_09_17,Afsondering Clinic,Afsondering Clinic,CLINIC,Alfred Nzo District Municipality,Maluti Health sub-District,,,,,Ms LL Mothapha,RURAL,Facility Owner - Government - Prov,Matatiele,PO Box 314,Afsondering location,"Eastern Cape Province
(-30.179141, 28.948674)",32,28, N/A,33, N/A,25,57,22,43,26,33,0,19,33,27,40,5,64,3,0,,,,0,0,3,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,,,,,8,8,5,,,,,,,,0,0,0,50,0,,,,,,,
ec_agnes_rest_clinic_2013_09_18,Agnes Rest Clinic,Agnes Rest Clinic,CLINIC,Chris Hani District Municipality,Emalahleni Health sub-District,,0718543796,,,Ntombomthelma Buti,RURAL,Facility Owner - Government - Prov,Lady Frere,BOX 246 Dordrect,Mnggukhwebe,"Eastern Cape Province
(-31.697272, 27.031056)",62,52, N/A,66, N/A,44,83,56,75,62,33,100,48,51,67,81,54,91,2,0,,,,2,0,2,2,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,,,,,,,24,24,7,24,7,,,,,,100,100,0,100,100,75,,,,,,
ec_alexandria_clinic_2013_09_18,Alexandria Clinic,Alexandria Clinic,CLINIC,Cacadu District Municipality,Makana Health sub-District,046 653 0333,046 653 0333,,,M Wright,RURAL,Facility Owner - Government - Prov,Alexandria,,1 Sending street,"Eastern Cape Province
(-33.651166, 26.413786)",29,22, N/A,32, N/A,24,43,30,14,23,0,33,39,19,20,36,23,54,2,0,,,,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,8,8,5,,,,,,,,0,100,0,0,,,,,,,,
ec_algoa_frail_care_centre_2013_09_20,Algoa Frail Care Centre,Algoa Frail Care Centre,,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,,,,,,,,,,,"Eastern Cape Province
(-33.87848, 25.48888)",100,100, N/A,100, N/A,100,,100,,,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec_algoa_park_clinic_2013_09_20,Algoa Park Clinic,Algoa Park Clinic,CLINIC,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,041 452 2058,041 452 2058,073 808 8415,lerina.magutywa@impilo.ecprov.gov.za,MRs PL Magutywa,URBAN,Facility Owner - Government - Prov,Algoa Park,,CNR Chudleigh an ST. Leornards street,"Eastern Cape Province
(-33.900956, 25.56466)",59,55, N/A,60, N/A,62,47,62,88,53,89,67,77,51,40,80,57,44,5,1,,,,2,0,10,1,0,1,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,,,,,,,8,8,5,,,,,,,,50,100,100,50,,,,,,,,
