Organisation Name,Services,Funded/Supported by,Availability of service,Suburb,Postal Code,Crisis/Counselling Line,Contact Person,Contact Number,Contact Number 2,SMS Line,Web,Email,Twitter,Group Meeting Time,More info,Location 1
Adcock Ingram Depression and Anxiety Helpline,Counselling support service,,,,,0800708090,,,,,,,,,,
ADHD Helpline,Counselling support service,,,,,0800554433,,,,,,,,,,
Akeso Alberton,Specialised Psychiatric Clinic,,,New Redruth,,0744678886,,0119072811,0744678886,,http://www.akeso.co.za,info@akeso.co.za,,,,"New Redruth
Alberton, Gauteng"
Akeso Crescent Clinic,Specialised Psychiatric Clinic,,,Boskruin,,,,0117929400,,,http://www.akeso.co.za,info@akeso.co.za,,,,"Boskruin
Randburg, Gauteng"
Akeso Head Office,Specialised Psychiatric Clinic,,,,,0861 HELP US (4357 87),,0114470268,,,http://www.akeso.co.za,info@akeso.co.za,,,,
Akeso Kenilworth,Specialised Psychiatric Clinic,,,Kenilworth,,,,0217634500,,,http://www.akeso.co.za,info@akeso.co.za,,,,"Kenilworth
Cape Town, Western Cape"
Akeso Kenilworth Adolescents,Specialised Psychiatric Clinic,,,Claremont,,,,0216719626,,,http://www.akeso.co.za,info@akeso.co.za,,,,"Claremont
Cape Town, Western Cape"
Akeso Parktown,Specialised Psychiatric Clinic,,,Parktown,2193,,,0115909500,,,http://www.akeso.co.za,info@akeso.co.za,,,,"Parktown
Johannesburg, Gauteng 2193"
Akeso Pietermaritzburg,Specialised Psychiatric Clinic,,,Scottsville,,0794969829,,0333460065,,,http://www.akeso.co.za,info@akeso.co.za,,,,"Scottsville
Pietermaritzburg, Kwazulu Natal"
Akeso Psychiatric Response Unit 24 Hour,Counselling support service,,24 hours,,,0861435787,,,,,,,,,,
Akeso Stepping Stones,Specialised Psychiatric Clinic,,,Kommetjie,,,,0217834230,08000337398 (Toll Free),,http://www.akeso.co.za,info@akeso.co.za,,,,"Kommetjie
Cape Town, Western Cape"
Al-Anon,Support for family and friends of alcoholics,,,,,0861 ALANON (25 26 66),,0215954508,,,www.alanon.org.za,help@alanon.org.za,,,,
Al-Anon Adult Children Anon (AACA) Gauteng Group: Jhb,Group meetings for families of alcoholics,,,Forest Town,,,,0116838002 ,,,,,,Mon 18h30 / Thu 18h45,,"Forest Town
Johannesburg, Gauteng"
Al-Anon Adult Children Anon (AACA) Gauteng Group: Pta,Group meetings for families of alcoholics,,,Rietfontein,,,,0116838002 ,,,,,,1st & 3rd Tue 18h15,,"Rietfontein
Pretoria, Gauteng"
Al-Anon Adult Children Anon (AACA) KZN Group: Durban,Group meetings for families of alcoholics,,,Glenwwod,,,,0313041826 ,,,,,,Thur 19h30,,"Glenwwod
Durban, Kwazulu Natal"
Al-Anon Adult Children Anon (AACA) KZN Group: PMB,Group meetings for families of alcoholics,,,,,,,0313041826 ,,,,,,Fri 19h30,,"Pietermaritzburg, Kwazulu Natal
(-29.6, 30.378889)"
Al-Anon Adult Children Anon (AACA) Western Cape Group,Group meetings for families of alcoholics,,,Rondebosch,,,,0215954517,,,,,,Wed 20h00,,"Rondebosch
Cape Town, Western Cape"
Alcoholics Anonymous SA,Alcoholic support,,,,,0861 HELPAA (435 722),,,,,AA website,,,,,
Amadea Safe House,Safe haven for abused and disabled children,,,Akasia,,,Rina Malan,0829559830,,,amadeasafehouse.co.za#sthash.vMgTifBa.dpuf,contact form on website,,,,"Akasia
Pretoria, Gauteng"
Amcare,Shelter for abused women and children,Gauteng Department of Social Development,,,,,Marihet Infantino ,0118695856,0795008011,,,marihet@amcare.org.za ,,,,"Alberton, Gauteng
(-26.249444, 28.128333)"
ARE Ageng,Shelter for abused women and children,Gauteng Department of Social Development,,,,0719309734,Nomawethu Kunene,0116921940/1945,0727006988 / 0727090008,,,kunenenoma@telkomsa.net,,,,"Bekkersdal, Gauteng
(-26.285766, 27.699574)"
Athlone House of Strength,Shelter for abused women and children,Department of Social Development (Western Cape Government),,Charleston Hill,,,Melissa Koopman (Shelter Manager),0218629983 ,,,http://www.childrenofpaarl.com,ahos@softweb.co.za,,,,"Charleston Hill
Paarl, Western Cape"
Beautiful Gate,Shelter for abused women & children,,,Phillipi,,,,0213702500 ,,,,,,,,"Phillipi
Cape Town, Western Cape"
Bella Maria,Shelter for abused women and children,Gauteng Department of Social Development,24 hours,,,0164281640  (24 hours),Colleen Rogers,0164281740,0824012296 / 0833667703,,,colleen@lifelinevaal.co.za,,,,"Vanderbijlpark, Gauteng
(-26.706891, 27.836271)"
Berea Mercy Shelter,Shelter for abused women,Soul Food,,Berea,,,,,,,,,,,,"Berea
Johannesburg, Gauteng"
Beth Shan,Shelter for abused women and children,Gauteng Department of Social Development,,Pretoria West,,,Captain Nerine Adams,0123796671,"766,837,821",,,tsabethshan@telkomsa.net,,,,"Pretoria West
Pretoria, Gauteng"
Bethany Home,Shelter for abused women and their children - sister shelter to Frida Hartley Shelter,Private sector / Soul Food,,Bertrams,,,,,,,,,,,,"Bertrams
Johannesburg, Gauteng"
Bethesda Centre,Shelter for abused women and children,Gauteng Department of Social Development,,,,,Yvonne Perumal ,0118452224,0832253520 ,,,yvonneperumal@gmail.com,,,,"Benoni, Gauteng
(-26.193036, 28.308238)"
Bienvenu Shelter for women and children refugees,Shelter for women and children,Soul Food,,Bertrams,2094,,,0116242915,,,,bienvenu@telkomsa.net / bienvenushelter@gmail.com,,,,"Bertrams
Johannesburg, Gauteng 2094"
Bombani Shelter for Abused Women in Alexandra,Shelter for abused women,,,Rivonia,,,,0118816021,,,,,,,,"Rivonia
Sandton, Gauteng"
BPW Outeniqua Refuge for Battered Women and their Children (Phambili Refuge) ,Shelter for abused women and children,Department of Social Development (Western Cape Government),,,,,,0448751551 ,,,,phambilirefuge@etimemail.co.za,,,,"George, Western Cape
(-33.964444, 22.459722)"
Carehaven Centre,Shelter for abused women and children,Department of Social Development (Western Cape Government),,Athlone,,,,0216385511 ,,,http://www.salvationarmy.co.za,careaids@iafrica.com,,,,"Athlone
Cape Town, Western Cape"
Cathedral of Christ the King Soup Kitchen,Overnight shelter / soup kitchen ,Soul Food,,Joubert Park,,,,,,,,,,,,"Joubert Park
Johannesburg, Gauteng"
Child Protection Unit,"SA Police Service's Family Violence, Child Protection and Sexual Offences Unit",,,,,10111 / 08600 10111,,,,,,childprotect@saps.org.za,,,,
Christian Action for Dependence Bethlehem Free State,Resources addressing the challenges of substance abuse,,,,,,Lappies Labuschagne (Chairman),0583030307,0795224088,,http://www.cad.org.za/index.php/freestate,klmedcount@gmail.com,,,,"Bethlehem, Free State
(-28.230833, 28.308889)"
Christian Action for Dependence Bloemfontein Free State,Resources addressing the challenges of substance abuse,,,,,,Theo Orton (Chairman),0824962873,,,http://www.cad.org.za/index.php/freestate,theo@pastewpave.co.za,,,,"Bloemfontein, Free State
(-29.116395, 26.215496)"
Christian Action for Dependence Bothaville Free State,Resources addressing the challenges of substance abuse,,,,,,Annesia Snyman (Chairman),0565153990,0825396880,,http://www.cad.org.za/index.php/freestate,bothavillenoord@mtnloaded.co.za,,,,"Bothaville, Free State
(-27.393119, 26.616187)"
Christian Action for Dependence Brandfort Free State,Resources addressing the challenges of substance abuse,,,,,,Casper Van Der Merwe,0734443709,,,http://www.cad.org.za/index.php/freestate,casmara7@gmail.com,,,,"Brandfort, Free State
(-28.696626, 26.461167)"
Christian Action for Dependence Brits,Resources addressing the challenges of substance abuse,,,,,,Gert Smit / Jan Byleveldt (Chairman),0795467671 / 0824137894,,,http://www.cad.org.za/index.php/northern-tvl,mvmmin@gmail.com,,Tue 19h00,,"Brits, North West
(-25.629722, 27.784167)"
Christian Action for Dependence Bultfontein Free State,Resources addressing the challenges of substance abuse,,,,,,Nico Grobler (Chairman),0825248434,,,http://www.cad.org.za/index.php/freestate,groblernico67@gmail.com,,,,"Bultfontein, Free State
(-28.286944, 26.150556)"
Christian Action for Dependence Crossroads:  Ellisras/Lephalale,Resources addressing the challenges of substance abuse,,,,,,Peet Joubert (Chairman),0721972910,,,http://www.cad.org.za/index.php/northern-tvl,pt.joubert@gmail.com,,Tue 19h00,,"Lephahale, Limpopo"
Christian Action for Dependence Eastern Transvaal,Resources addressing the challenges of substance abuse,,,,,,Jaap Gerenger (Chairman) ,0126642667,0832275484 / 0731497023,,http://www.cad.org.za/index.php/eastern-tvl,jaap.gerenger@gmail.com,,,,"Mpumalanga
(-26.276849, 30.150015)"
