,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision,Is Vaccination site
0,Fort England Hospital,26.54361,-33.3156,Specialised Hospital,Eastern Cape,Sarah Baartman District Municipality,Makana Local Municipality,,Psychiatry and Occupational Services,Large,313.0,,,,,,,313.0,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/fort_england_hospital_grahamstown_eastern_cape_south_africa,ZA-EC,
1,Fort Beaufort Hospital,26.633571,-32.7802,District Hospital,Eastern Cape,Amathole District Municipality,Raymond Mhlaba Local Municipality,,"Surgical Services,Medical Services, Paediatrics, Maternity Services, Gynaecology Services, Operating Theatre & CSSD Services, Anti-Retroviral Treatment Services (ARVs), X-Ray Services, Physiotherapy, Laundry Services, Kitchen Services, PMTC & VCT",,70.0,70.0,15.0,15.0,0.0,2.0,1.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/fort_beaufort_hospital_fort_beaufort_eastern_cape_south_africa,ZA-EC,YES
2,Bhisho Hospital,27.45516,-32.8277,District Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,"Anti-Retroviral Treatment Services (ARVs), Emergency Services, Gynaecology Services,Kitchen Services,Laboratory Services,Laundry Services,Maternity Services,Medical Services,O.P.D. Services,Occupational Services,Operating Theatre & CSSD Services,Paediatrics,Pharmacy Services,Physiotherapy,Post Trauma Counselling Services,Surgical Services,X-Ray Services",,205.0,205.0,40.0,40.0,0.0,3.0,2.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/bhisho_hospital_bhisho_eastern_cape_south_africa,ZA-EC,
3,Grey Hospital,27.39579,-32.8793,District Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,"Emergency department, Paediatric ward, Maternity ward, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, X-Ray Services, Laundry Services, Kitchen Services and Mortuary.",,67.0,67.0,18.0,18.0,0.0,4.0,1.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/grey_hospital_king_william%27s_town_eastern_cape_south_africa,ZA-EC,
4,St Francis Chronic Hospital,26.69921,-30.6887,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,,"The hospital services include Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, TB Services, Physiotherapy, Out Patients Department, Laundry Services and Kitchen Services.",,26.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/st_francis_provincial_aided_hospital_aliwal_north_eastern_cape_south_africa,ZA-EC,
5,Midland Hospital,24.53619,-32.2608,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Dr B Naud Local Municipality,,"Emergency department, Paediatric ward, Maternity ward, Obstetrics, Gynaecology Services, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, Dentistry, Physiotherapy, Occupational Services, Laboratory Services, X-Ray Services, Laundry Services and Kitchen Services.",,80.0,80.0,0.0,0.0,0.0,3.0,1.0,,,,,ZA-EC,
6,Midlands Medical Centre Hospital,30.391519,-29.592892,Private Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Hospital services – visit their website for more details,,225.0,,61.0,,,,5.0,,,,https://midlandsmedicalcentre.co.za,ZA-KZN,
7,Jan Kempdorp Hospital,24.500846,-27.551445,District Hospital,Northern Cape,Frances Baard District Municipality,Phokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,16.0,,0.0,0.0,,0.0,0.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_northern_cape_south_africa/jan_kempdorp_hospital_jan_kempdorp_northern_cape_south_africa,ZA-NC,
8,Humansdorp Hospital,24.78144,-34.0302,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Kouga Local Municipality,,"Anti-Retroviral Treatment Services (ARVs),Emergency Services,Gynaecology Services,Laboratory Services,Maternity Services,Medical Services,O.P.D. Services,Occupational Services,Operating Theatre & CSSD Services,Paediatrics,Physiotherapy,PMTC & VCT,Surgical Services,X-Ray Services",,80.0,80.0,0.0,0.0,0.0,5.0,1.0,,,,https://www.medpages.info/sf/index.php?page=organisation&orgcode=58488,ZA-EC,
9,Frere Hospital,27.89156,-32.9959,Tertiary Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,"Trauma and Emergency department, Orthopaedic surgery, Paediatrics, Obstetrics/Gynecology, Surgery, Internal Medicine, ARV clinic for HIV/AIDS in adults and children, Anaesthetics, Family Medicine, Dermatology, Oncology for adult and paediatric patients and burns unit. The other surgical specialties include Neurosurgery, Urology, Paediatric Surgery, Otolaryngology (ENT), Ophthalmology and Maxillofacial surgery. Health services such as Physiotherapy, Occupational Therapy, Speech and Language Therapy, Audiology, Psychology, Social workers, Orthotics, Dentistry and Dietetics.Other services include CSSD Services, Pharmacy, Occupational Services, X-Ray Services with Computed Tomography (CT), Magnetic Resonance Imaging (MRI) and mammography facility, NHLS Laboratory, Blood Bank, Laundry Services, Kitchen Services and Mortuary.",,840.0,916.0,187.0,233.0,5.0,14.0,8.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/frere_hospital_east_london_eastern_cape_south_africa,ZA-EC,
10,Cecilia Makiwane Hospital,27.74422,-32.9278,Tertiary Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,"Trauma and Emergency, Paediatrics, Obstetrics/Gynecology, Surgery, Internal Medicine, ARV clinic for HIV/AIDS in adults and children, Anaesthetics, Paediatric Surgery, Family Medicine, Psychiatry, Dermatology, Otolaryngology (ENT), Ophthalmology and burns unit. The Orthopaedic department runs a weekly clinic. Other facilities include an operating theatre, Intensive Care Unit (ICU) for adult, paediatric and neonatal patients, and high-care wards for general and obstetric patients. The hospital also offers allied health services such as physiotherapy, occupational therapy, speech and language therapy, psychology, social worker, dentistry and dietetics. Other services include CSSD Services, Pharmacy, Post Trauma Counseling Services, Occupational Services, X-Ray Services with Computed Tomography (CT) facility, National Health Laboratory Service (NHLS), blood bank and mortuary.",,737.0,1000.0,130.0,130.0,6.0,7.0,5.0,,,,https://web.archive.org/web/20131021150537/http://www.ecdoh.gov.za/hospitals/68/Cecilia_Makiwane_Hospital,ZA-EC,
11,Frontier Hospital,26.871347,-31.8892,Regional Hospital,Eastern Cape,Chris Hani District Municipality,Enoch Mgijima Local Municipality,,"Emergency department, Paediatric ward, Maternity ward, Obstetrics, Gynaecology Services, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, Dentistry, Physiotherapy, Occupational Services, Speech-Language and Hearing Therapy Services, Audiology, Laboratory Services, X-Ray Services, Laundry Services and Kitchen Services.",,283.0,450.0,72.0,72.0,0.0,4.0,5.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/frontier_hospital_queenstown_eastern_cape_south_africa,ZA-EC,YES
12,Livingstone Hospital,25.57074,-33.9251,Tertiary Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,"Emergency Department, the Paediatric, the Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, a Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS Wellness Clinic/ID clinic, Post Trauma Counseling Services, Occupational Services, X-Ray Services, Occupational Therapy, Physiotherapy, Speech Therapy, NHLS Laboratory, Oral Health Care Provides Maxillofacial Facial, Laundry Services, Kitchen Services and a Mortuary.",,583.0,616.0,180.0,180.0,11.0,22.0,8.0,,,,https://www.mylivingstonhospital.com/our-services,ZA-EC,YES
13,Basambilu Med Centre,28.19,-26.01,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
14,Diepsloot Med Centre,28.01873,-25.9205,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
15,Beaufort West Hospital,22.5949,-32.3529,District Hospital,Western Cape,Central Karoo District Municipality,Beaufort West Local Municipality,YES,In-patient and ambulatory health services as well as emergency health services.,,57.0,,6.0,6.0,,5.0,2.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_western_cape_south_africa/beaufort_west_hospital_beaufort_west_western_cape_south_africa,ZA-WC,
16,Mediwell Dainfern Square Med Centre,28.013146,-25.9929,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediwell.co.za/,ZA-GP,
17,Netcare Sunninghill Hospital,28.06941,-26.0384,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,265.0,,90.0,,,,6.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Sunninghill-Hospital,ZA-GP,
18,Phedisong Health Care,28.240658,-25.9984,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
19,Tanganani Health Care,28.011625,-25.9293,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://bophelong-medical-and-dental-centre.business.site/,ZA-GP,
20,Life Riverfield Lodge Hospital,27.962992,-25.9451,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-riverfield-lodge/,ZA-GP,
21,Mediclinic Sandton Hospital,28.01204,-26.0772,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,379.0,,114.0,,,,10.0,,,,https://www.mediclinic.co.za/en/sandton/home.html,ZA-GP,
22,Netcare Milpark Hospital,28.01725,-26.1797,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,346.0,,155.0,,,,13.0,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Milpark-Hospital,ZA-GP,
23,Netcare Rehab Hospital,28.01224,-26.1885,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcarehospitals.co.za/Hospital/netcare-rehabilitation-hospital,ZA-GP,
