GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,#indicator+value+num,,,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,AFR,Africa,,ZAF,1985,1985,South Africa,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.0 [21.7-24.4],23.00000,21.70000,24.40000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987,1987,,AFR,Africa,,ZAF,1987,1987,South Africa,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.1 [22.0-24.2],23.10000,22.00000,24.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,AFR,Africa,,ZAF,1994,1994,South Africa,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.5 [23.0-24.1],23.50000,23.00000,24.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,AFR,Africa,,ZAF,1996,1996,South Africa,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.7 [23.2-24.2],23.70000,23.20000,24.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001,2001,,AFR,Africa,,ZAF,2001,2001,South Africa,,AGE20-PLUS,20+ years,,MLE,Male,,,,,24.5 [24.0-25.0],24.50000,24.00000,25.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003,2003,,AFR,Africa,,ZAF,2003,2003,South Africa,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.0 [24.5-25.5],25.00000,24.50000,25.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,AFR,Africa,,ZAF,1980,1980,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,26.6 [24.6-28.7],26.60000,24.60000,28.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987,1987,,AFR,Africa,,ZAF,1987,1987,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,26.9 [25.7-28.1],26.90000,25.70000,28.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989,1989,,AFR,Africa,,ZAF,1989,1989,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,27.0 [26.0-28.0],27.00000,26.00000,28.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,AFR,Africa,,ZAF,1994,1994,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,27.3 [26.6-28.0],27.30000,26.60000,28.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,AFR,Africa,,ZAF,1996,1996,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,27.5 [26.8-28.1],27.50000,26.80000,28.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,AFR,Africa,,ZAF,1998,1998,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,27.7 [27.1-28.3],27.70000,27.10000,28.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003,2003,,AFR,Africa,,ZAF,2003,2003,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,28.3 [27.7-28.9],28.30000,27.70000,28.90000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005,2005,,AFR,Africa,,ZAF,2005,2005,South Africa,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,28.7 [28.0-29.3],28.70000,28.00000,29.30000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,AFR,Africa,,ZAF,1983,1983,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.3 [4.7-5.9],5.30000,4.70000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985,1985,,AFR,Africa,,ZAF,1985,1985,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.3 [4.8-5.8],5.30000,4.80000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1990,1990,,AFR,Africa,,ZAF,1990,1990,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.4 [5.0-5.6],5.40000,5.00000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1992,1992,,AFR,Africa,,ZAF,1992,1992,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.4 [5.1-5.7],5.40000,5.10000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999,1999,,AFR,Africa,,ZAF,1999,1999,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.1-5.9],5.50000,5.10000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001,2001,,AFR,Africa,,ZAF,2001,2001,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.1-5.9],5.50000,5.10000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2008,2008,,AFR,Africa,,ZAF,2008,2008,South Africa,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.6 [5.0-6.2],5.60000,5.00000,6.20000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981,1981,,AFR,Africa,,ZAF,1981,1981,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [4.7-6.2],5.40000,4.70000,6.20000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,AFR,Africa,,ZAF,1983,1983,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [4.8-6.0],5.40000,4.80000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1988,1988,,AFR,Africa,,ZAF,1988,1988,South Africa,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.4 [5.1-5.8],5.40000,5.10000,5.80000,,,
