GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
SA_0000001441,"Age-standardized death rates, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,2.83,2.83000,,,,,
SA_0000001450,"Age-standardized death rates, poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,1.32,1.32000,,,,,
SA_0000001449,"Age-standardized death rates, oesophagus cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,20.92,20.92000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,2.46,2.46000,,,,,
SA_0000001439,"Age-standardized death rates, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,11.02,11.02000,,,,,
SA_0000001437,"Age-standardized death rates, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,2.1,2.10000,,,,,
SA_0000001443,"Age-standardized death rates, fires, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,5.28,5.28000,,,,,
SA_0000001448,"Age-standardized death rates, mouth and oropharynx cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,5.04,5.04000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,1.04,1.04000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,2.98,2.98000,,,,,
SA_0000001453,"Age-standardized death rates, self-inflicted injury, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,12.60,12.60000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,10.86,10.86000,,,,,
SA_0000001458,"Age-standardized death rates (15+ years), poisoning, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,3.32,3.32000,,,,,
SA_0000001455,"Age-standardized death rates, violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,45.61,45.61000,,,,,
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,1.86,1.86000,,,,,
SA_0000001442,"Age-standardized death rates, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,4.49,4.49000,,,,,
SA_0000001438,"Age-standardized death rates, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,12.52,12.52000,,,,,
SA_0000001452,"Age-standardized death rates, road traffic accidents, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,34.37,34.37000,,,,,
SA_0000001445,"Age-standardized death rates, liver cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2378,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,,,,,,,,,,8.47,8.47000,,,,,
SA_0000001460,"Age-standardized death rates (15+ years), violence, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1413,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,2.09,2.09000,,,,,
