GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZAF,South Africa,,69 [57-86],69.00000,57.00000,86.00000,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZAF,South Africa,,68 [57-85],68.00000,57.00000,85.00000,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1991,1991,,AFR,Africa,,WB_UMI,1991,1991,Upper-middle-income,,ZAF,South Africa,,77652,77652.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992,1992,,AFR,Africa,,WB_UMI,1992,1992,Upper-middle-income,,ZAF,South Africa,,82539,82539.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1994,1994,,AFR,Africa,,WB_UMI,1994,1994,Upper-middle-income,,ZAF,South Africa,,90292,90292.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,AFR,Africa,,WB_UMI,1995,1995,Upper-middle-income,,ZAF,South Africa,,73917,73917.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,AFR,Africa,,WB_UMI,1997,1997,Upper-middle-income,,ZAF,South Africa,,125913,125913.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,AFR,Africa,,WB_UMI,1998,1998,Upper-middle-income,,ZAF,South Africa,,142281,142281.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,AFR,Africa,,WB_UMI,2000,2000,Upper-middle-income,,ZAF,South Africa,,151239,151239.00000,,,,,
